op name, kernel name, exec duration (ms), global size, local size, output size
ffn_inp-6,kernel_add,0.012500,128x1x1,64x1x1,2048x2x1x1
ffn_norm-6,kernel_rms_norm_mul,0.005400,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-6,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,6144x2x1x1
ffn_gate-6,kernel_gemm_noshuffle_q4_0_f32,0.332600,1x1536x1,1x128x1,6144x2x1x1
ffn_up-6,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,6144x2x1x1
ffn_up-6,kernel_gemm_noshuffle_q4_0_f32,0.335100,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-6,kernel_swiglu,0.006700,1024x1x1,512x1x1,6144x2x1x1
ffn_out-6,kernel_transpose_32_16,0.010400,1536x2x0,1x16x0,2048x2x1x1
ffn_out-6,kernel_gemm_noshuffle_q4_0_f32,1.008800,1x512x1,1x128x1,2048x2x1x1
l_out-6,kernel_add,0.013200,128x1x1,64x1x1,2048x2x1x1
attn_norm-7,kernel_rms_norm_mul,0.005500,2048x1x1,1024x1x1,2048x2x1x1
Qcur-7,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,2048x2x1x1
Qcur-7,kernel_gemm_noshuffle_q4_0_f32,0.338900,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-7,kernel_rms_norm_mul,0.004700,2048x2x1,128x1x1,128x16x2x1
Qcur-7,kernel_rope_neox_f32,0.003000,1024x2x1,64x1x1,128x16x2x1
Vcur-7,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,1024x2x1x1
Vcur-7,kernel_gemm_noshuffle_q4_0_f32,0.328100,1x256x1,1x128x1,1024x2x1x1
Kcur-7,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Kcur-7,kernel_gemm_noshuffle_q4_0_f32,0.324800,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-7,kernel_rms_norm_mul,0.003500,1024x2x1,128x1x1,128x8x2x1
Kcur-7,kernel_rope_neox_f32,0.002500,512x2x1,64x1x1,128x8x2x1
cache_k_l7 (view),kernel_set_rows_f16_i64,0.003200,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l7 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
node_270,flash_attn_blk_f16,0.007000,8x1x1,0x0x0,128x16x2x1
node_270,flash_attn_f32_f16,0.062100,128x16x0,128x1x0,128x16x2x1
node_272,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,2048x2x1x1
node_272,kernel_gemm_noshuffle_q4_0_f32,0.327900,1x512x1,1x128x1,2048x2x1x1
ffn_inp-7,kernel_add,0.013500,128x1x1,64x1x1,2048x2x1x1
ffn_norm-7,kernel_rms_norm_mul,0.005700,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-7,kernel_transpose_32_16,0.005400,512x2x0,1x16x0,6144x2x1x1
ffn_gate-7,kernel_gemm_noshuffle_q4_0_f32,0.343400,1x1536x1,1x128x1,6144x2x1x1
ffn_up-7,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,6144x2x1x1
ffn_up-7,kernel_gemm_noshuffle_q4_0_f32,0.343300,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-7,kernel_swiglu,0.006500,1024x1x1,512x1x1,6144x2x1x1
ffn_out-7,kernel_transpose_32_16,0.010200,1536x2x0,1x16x0,2048x2x1x1
ffn_out-7,kernel_gemm_noshuffle_q4_0_f32,0.970500,1x512x1,1x128x1,2048x2x1x1
l_out-7,kernel_add,0.013200,128x1x1,64x1x1,2048x2x1x1
attn_norm-8,kernel_rms_norm_mul,0.005700,2048x1x1,1024x1x1,2048x2x1x1
Qcur-8,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,2048x2x1x1
Qcur-8,kernel_gemm_noshuffle_q4_0_f32,0.328100,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-8,kernel_rms_norm_mul,0.004400,2048x2x1,128x1x1,128x16x2x1
Qcur-8,kernel_rope_neox_f32,0.003800,1024x2x1,64x1x1,128x16x2x1
Vcur-8,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Vcur-8,kernel_gemm_noshuffle_q4_0_f32,0.325100,1x256x1,1x128x1,1024x2x1x1
Kcur-8,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Kcur-8,kernel_gemm_noshuffle_q4_0_f32,0.328000,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-8,kernel_rms_norm_mul,0.004000,1024x2x1,128x1x1,128x8x2x1
Kcur-8,kernel_rope_neox_f32,0.002700,512x2x1,64x1x1,128x8x2x1
cache_k_l8 (view),kernel_set_rows_f16_i64,0.003100,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l8 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
node_305,flash_attn_blk_f16,0.007200,8x1x1,0x0x0,128x16x2x1
node_305,flash_attn_f32_f16,0.062700,128x16x0,128x1x0,128x16x2x1
node_307,kernel_transpose_32_16,0.005300,512x2x0,1x16x0,2048x2x1x1
node_307,kernel_gemm_noshuffle_q4_0_f32,0.343700,1x512x1,1x128x1,2048x2x1x1
ffn_inp-8,kernel_add,0.013100,128x1x1,64x1x1,2048x2x1x1
