op name, kernel name, exec duration (ms), t_since_start_ms, tensor_bytes, rss_kb, global size, local size, output size
Qcur-14,MUL_MAT,0.059948,1313.895052,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-14,RESHAPE,0.000312,1313.899687,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
norm-14,RMS_NORM,0.095781,1313.999427,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur_normed-14,MUL,0.002083,1314.005937,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-14,ROPE,0.001927,1314.011510,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Vcur-14,MUL_MAT,0.032188,1314.047396,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Vcur-14,RESHAPE,0.000469,1314.052031,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-14,MUL_MAT,0.100260,1314.155937,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Kcur-14,RESHAPE,0.000469,1314.164375,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
norm-14,RMS_NORM,0.087656,1314.256041,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur_normed-14,MUL,0.001302,1314.261666,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-14,ROPE,0.001719,1314.266979,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-14 (view),VIEW,0.000468,1314.270989,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_k_l14 (view),SET_ROWS,0.023854,1314.298437,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-14 (view),VIEW,0.000261,1314.303073,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_v_l14 (view),SET_ROWS,0.028073,1314.334948,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-14 (view),VIEW,0.012604,1314.351927,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-14 (view) (permuted),PERMUTE,0.022031,1314.378229,8192,5698600,128x1x16x1,0x0x0,128x1x16x1
cache_k_l14 (view),VIEW,0.000312,1314.382812,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l14 (view) (permuted),PERMUTE,0.017292,1314.403854,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l14 (view),VIEW,0.000260,1314.408385,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l14 (view) (permuted),PERMUTE,0.020730,1314.432969,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_515,FLASH_ATTN_EXT,0.055104,1314.492500,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-14,RESHAPE,0.000313,1314.496979,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_517,MUL_MAT,0.149896,1314.650573,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-14,ADD,0.001510,1314.656562,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-14,RMS_NORM,0.003334,1314.663594,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_norm-14,MUL,0.001459,1314.668646,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-14,MUL_MAT,0.159115,1314.831406,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-14,MUL_MAT,0.159271,1314.995052,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-14,GLU,0.004479,1315.003854,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
